Site Id,OPC Tag,Turbine Id,Tag,Available Minutes,Averages,Max samples,Min Samples,Standra Deviation,Consistency (Minutes per 48 Hrs),Resolution (Average samples per minute),Resolution Error (RSD),Resolution with Error,Resolution With Consistency Confidence
WAD1,WAD1-ALT1.AI_in_HubAmbientTemp,ALT1,AI_in_HubAmbientTemp,41,29.14634146,48,1,16.87625114,84%,49%,58%,20%,16%
WAD1,WAD1-ALT1.AI_In_CuRtrBpTemp3,ALT1,AI_In_CuRtrBpTemp3,49,46.6122449,48,32,2.709140435,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_CuRtrBpTemp4,ALT1,AI_In_CuRtrBpTemp4,49,46.71428571,48,33,2.424366107,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_CuRtrBpTemp1,ALT1,AI_In_CuRtrBpTemp1,49,46.6122449,48,32,2.709140435,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_CuRtrBpTemp2,ALT1,AI_In_CuRtrBpTemp2,49,46.6122449,48,32,2.701596856,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_CuRtrBpTemp5,ALT1,AI_In_CuRtrBpTemp5,49,46.73469388,48,33,2.405567608,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_CuRtrBpTemp6,ALT1,AI_In_CuRtrBpTemp6,49,46.75510204,48,31,2.495143137,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.WFMS_TurbActPwrCurtSetpt,ALT1,WFMS_TurbActPwrCurtSetpt,3,16,32,1,12.67543556,6%,27%,79%,-13%,-1%
WAD1,WAD1-ALT1.IdleTime_R,ALT1,IdleTime_R,49,46.59183673,48,29,2.717429513,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_DtaAccelerationZ,ALT1,AI_In_DtaAccelerationZ,49,27.97959184,39,11,5.69457241,100%,47%,20%,36%,36%
WAD1,WAD1-ALT1.AI_In_DtaAccelerationX,ALT1,AI_In_DtaAccelerationX,48,18.72916667,35,1,9.803782398,98%,31%,52%,5%,5%
WAD1,WAD1-ALT1.AI_In_DtaAccelerationY,ALT1,AI_In_DtaAccelerationY,49,20.16326531,40,8,7.183731447,100%,34%,36%,16%,16%
WAD1,WAD1-ALT1.DynCtlMBC_ThrustPitch,ALT1,DynCtlMBC_ThrustPitch,33,36.72727273,48,1,12.72857136,67%,61%,35%,44%,30%
WAD1,WAD1-ALT1.AI_In_TbBearingRotorTemp,ALT1,AI_In_TbBearingRotorTemp,49,44.06122449,48,32,2.721105442,100%,73%,6%,70%,70%
WAD1,WAD1-ALT1.DynCtl_ALC_Pitch1_2P,ALT1,DynCtl_ALC_Pitch1_2P,12,45.58333333,48,34,3.861310946,24%,76%,8%,72%,18%
WAD1,WAD1-ALT1.OpCtl_TSR,ALT1,OpCtl_TSR,49,46.73469388,48,32,2.439266452,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.In_WFMSReactPwrDem,ALT1,In_WFMSReactPwrDem,47,46.72340426,48,32,2.464230299,96%,78%,5%,75%,72%
WAD1,WAD1-ALT1.DO_Pitch_Axis2BrakeOn,ALT1,DO_Pitch_Axis2BrakeOn,7,2.428571429,5,1,1.399708424,14%,4%,58%,-25%,-4%
WAD1,WAD1-ALT1.AI_In_GridMonRealPowerAct,ALT1,AI_In_GridMonRealPowerAct,49,46.59183673,48,32,2.664340232,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_TbGenSpdImpulse,ALT1,AI_In_TbGenSpdImpulse,49,40.85714286,48,6,11.92151203,100%,68%,29%,54%,54%
WAD1,WAD1-ALT1.Out_TurbineOKTime,ALT1,Out_TurbineOKTime,38,46.52631579,48,32,2.760023285,78%,78%,6%,75%,58%
WAD1,WAD1-ALT1.AI_In_PitchAngleCurrent1,ALT1,AI_In_PitchAngleCurrent1,32,40.46875,48,1,11.90321484,65%,67%,29%,53%,34%
WAD1,WAD1-ALT1.AI_In_PitchAngleCurrent2,ALT1,AI_In_PitchAngleCurrent2,32,40.90625,48,8,10.14383857,65%,68%,25%,56%,36%
WAD1,WAD1-ALT1.AI_In_PitchAngleCurrent3,ALT1,AI_In_PitchAngleCurrent3,33,40.24242424,48,8,10.70267682,67%,67%,27%,54%,36%
WAD1,WAD1-ALT1.B_In_WFMSActPwrDemVal,ALT1,B_In_WFMSActPwrDemVal,4,6.25,21,1,8.525696452,8%,10%,136%,-58%,-5%
WAD1,WAD1-ALT1.AI_In_TbCabinetTemp,ALT1,AI_In_TbCabinetTemp,33,5.363636364,18,1,4.727855442,67%,9%,88%,-35%,-24%
WAD1,WAD1-ALT1.AI_In_DtaCabinetTemp,ALT1,AI_In_DtaCabinetTemp,32,11.1875,46,1,12.07900425,65%,19%,108%,-35%,-23%
WAD1,WAD1-ALT1.C_WFMS_ActPwrDem,ALT1,C_WFMS_ActPwrDem,13,42.69230769,48,1,12.5292557,27%,71%,29%,56%,15%
WAD1,WAD1-ALT1.WFMS_TurbMaxNegReactPwr,ALT1,WFMS_TurbMaxNegReactPwr,10,17.2,32,1,9.724196625,20%,29%,57%,0%,0%
WAD1,WAD1-ALT1.AI_In_GridMonFrequencyAct,ALT1,AI_In_GridMonFrequencyAct,49,46.73469388,48,31,2.472506043,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_TbGenWinding3Temp,ALT1,AI_In_TbGenWinding3Temp,49,45.36734694,48,30,2.826217473,100%,76%,6%,72%,72%
WAD1,WAD1-ALT1.Exchange.1.Header.TimeStamp,ALT1,Exchange,49,46.6122449,48,32,2.709140435,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.SM_Curt_WFMSPowCtlEnable,ALT1,SM_Curt_WFMSPowCtlEnable,3,1,1,1,0,6%,2%,0%,2%,0%
WAD1,WAD1-ALT1.Curt_WFMSReactPwrDem,ALT1,Curt_WFMSReactPwrDem,47,46.72340426,48,32,2.429448126,96%,78%,5%,75%,72%
WAD1,WAD1-ALT1.DO_Pitch_Axis1BrakeOn,ALT1,DO_Pitch_Axis1BrakeOn,7,2.714285714,5,1,1.665986256,14%,5%,61%,-26%,-4%
WAD1,WAD1-ALT1.Curt_PowerLimSsrErrAdvCtrlTime,ALT1,Curt_PowerLimSsrErrAdvCtrlTime,4,47.75,48,47,0.433012702,8%,80%,1%,79%,6%
WAD1,WAD1-ALT1.AI_In_IOPackTemprA1_R,ALT1,AI_In_IOPackTemprA1_R,41,5.731707317,13,1,3.588765602,84%,10%,63%,-22%,-18%
WAD1,WAD1-ALT1.MBCEst_AccelForeAft,ALT1,MBCEst_AccelForeAft,49,46.73469388,48,33,2.397068875,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_TbOutsideTemp_Thies2D,ALT1,AI_In_TbOutsideTemp_Thies2D,31,2.580645161,8,1,2.091059209,63%,4%,81%,-36%,-23%
WAD1,WAD1-ALT1.WFMS_TurbMeasGridFreq,ALT1,WFMS_TurbMeasGridFreq,49,46.71428571,48,31,2.507132682,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.DynCtl_ALCmm_Q,ALT1,DynCtl_ALCmm_Q,49,46.65306122,48,31,2.487117998,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.DynCtl_ALCmm_D,ALT1,DynCtl_ALCmm_D,49,46.6122449,48,32,2.701596856,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.In_WFMSActPwrDemFreq,ALT1,In_WFMSActPwrDemFreq,3,19.66666667,35,1,14.07914139,6%,33%,72%,-3%,0%
WAD1,WAD1-ALT1.In_GenSpdHiPrecision,ALT1,In_GenSpdHiPrecision,49,46.7755102,48,33,2.409719317,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.MBCEst_SpeedRotor_RPM,ALT1,MBCEst_SpeedRotor_RPM,49,46.6122449,48,32,2.709140435,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_Axis3BatVoltC3,ALT1,AI_In_Axis3BatVoltC3,7,1.571428571,3,1,0.728431359,14%,3%,46%,-21%,-3%
WAD1,WAD1-ALT1.AI_In_Axis3BatVoltC2,ALT1,AI_In_Axis3BatVoltC2,4,2.5,3,2,0.5,8%,4%,20%,-6%,0%
WAD1,WAD1-ALT1.AI_In_Axis3BatVoltC1,ALT1,AI_In_Axis3BatVoltC1,5,2,3,1,0.894427191,10%,3%,45%,-19%,-2%
WAD1,WAD1-ALT1.AI_In_TbTowerAcceleration,ALT1,AI_In_TbTowerAcceleration,49,44.57142857,48,32,3.697765459,100%,74%,8%,70%,70%
WAD1,WAD1-ALT1.Pitch_PitchBatt2Temp,ALT1,Pitch_PitchBatt2Temp,35,32.42857143,48,1,16.49811368,71%,54%,51%,29%,20%
WAD1,WAD1-ALT1.AI_In_Axis3BatVoltC6,ALT1,AI_In_Axis3BatVoltC6,3,2,4,1,1.414213562,6%,3%,71%,-32%,-2%
WAD1,WAD1-ALT1.AI_In_Axis3BatVoltC5,ALT1,AI_In_Axis3BatVoltC5,5,3.8,10,1,3.249615362,10%,6%,86%,-36%,-4%
WAD1,WAD1-ALT1.AI_In_Axis3BatVoltC4,ALT1,AI_In_Axis3BatVoltC4,7,2.142857143,4,1,1.124858268,14%,4%,52%,-23%,-3%
WAD1,WAD1-ALT1.AI_In_TbSlipringTemperature,ALT1,AI_In_TbSlipringTemperature,49,44.79591837,48,31,2.962208166,100%,75%,7%,71%,71%
WAD1,WAD1-ALT1.DO_DrvTr_TbDiskBrakeHydrPumpOn,ALT1,DO_DrvTr_TbDiskBrakeHydrPumpOn,11,1.545454545,3,1,0.78202957,22%,3%,51%,-23%,-5%
WAD1,WAD1-ALT1.Curt_PowerMax,ALT1,Curt_PowerMax,12,47.58333333,48,47,0.493006649,24%,79%,1%,79%,19%
WAD1,WAD1-ALT1.Out_OperationTimeYawLeftInh,ALT1,Out_OperationTimeYawLeftInh,1,1,1,1,0,2%,2%,0%,2%,0%
WAD1,WAD1-ALT1.In_WFMSActPwrDem,ALT1,In_WFMSActPwrDem,13,42.38461538,48,1,12.40061079,27%,71%,29%,56%,15%
WAD1,WAD1-ALT1.MBCEst_SpeedWind,ALT1,MBCEst_SpeedWind,49,46.69387755,48,32,2.533079771,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_CuReacPowerAct,ALT1,AI_CuReacPowerAct,49,46.7755102,48,33,2.409719317,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_CuTorqueAct,ALT1,AI_CuTorqueAct,36,46.5,48,31,2.929732639,73%,78%,6%,74%,55%
WAD1,WAD1-ALT1.SM_Curt_NormalOperation,ALT1,SM_Curt_NormalOperation,2,1.5,2,1,0.5,4%,3%,33%,-14%,-1%
WAD1,WAD1-ALT1.AI_In_TbRotorSpeed2_IFM,ALT1,AI_In_TbRotorSpeed2_IFM,38,46.39473684,48,31,3.022193989,78%,77%,7%,74%,57%
WAD1,WAD1-ALT1.Curt_ExternalLimitedPower,ALT1,Curt_ExternalLimitedPower,13,43.84615385,48,1,12.37768559,27%,73%,28%,59%,16%
WAD1,WAD1-ALT1.Out_ExteDetCurtailSPAverage,ALT1,Out_ExteDetCurtailSPAverage,3,1,1,1,0,6%,2%,0%,2%,0%
WAD1,WAD1-ALT1.DrvTr_DrvTrOscAccel,ALT1,DrvTr_DrvTrOscAccel,49,46.6122449,48,32,2.701596856,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_CuCoolantTemp,ALT1,AI_In_CuCoolantTemp,49,46.6122449,48,32,2.709140435,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_GridMonCurrentL2Act,ALT1,AI_In_GridMonCurrentL2Act,49,46.73469388,48,31,2.480746351,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.Out_NegReactiveEnergy,ALT1,Out_NegReactiveEnergy,25,6.36,13,1,3.148078779,51%,11%,49%,-14%,-7%
WAD1,WAD1-ALT1.OpCtl_Pitch2Min,ALT1,OpCtl_Pitch2Min,12,31,48,1,11.16542282,24%,52%,36%,34%,8%
WAD1,WAD1-ALT1.AI_In_GridMonVoltageL1Act,ALT1,AI_In_GridMonVoltageL1Act,49,46.75510204,48,32,2.437216648,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_TbGenWinding2Temp,ALT1,AI_In_TbGenWinding2Temp,49,44.91836735,48,31,2.562179674,100%,75%,6%,72%,72%
WAD1,WAD1-ALT1.Pitch_PitchAxis1Temp,ALT1,Pitch_PitchAxis1Temp,11,27.27272727,48,1,18.13129344,22%,45%,66%,12%,3%
WAD1,WAD1-ALT1.In_TbDiscBrakeHydrPressure,ALT1,In_TbDiscBrakeHydrPressure,49,38.46938776,45,28,3.044580604,100%,64%,8%,60%,60%
WAD1,WAD1-ALT1.WFMS_TurbMeasReactPwr,ALT1,WFMS_TurbMeasReactPwr,49,46.63265306,48,31,2.68551578,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.B_In_WFMSActPwrDemFreqVal,ALT1,B_In_WFMSActPwrDemFreqVal,3,8,21,1,9.201449161,6%,13%,115%,-44%,-3%
WAD1,WAD1-ALT1.AI_In_TbNacelleTemperature,ALT1,AI_In_TbNacelleTemperature,49,44.55102041,48,33,2.665434256,100%,74%,6%,71%,71%
WAD1,WAD1-ALT1.AI_In_TbWindDirection_Thies2D,ALT1,AI_In_TbWindDirection_Thies2D,49,45.04081633,48,32,2.84252822,100%,75%,6%,72%,72%
WAD1,WAD1-ALT1.DynCtl_PowerSetpoint,ALT1,DynCtl_PowerSetpoint,38,42.60526316,48,1,11.75750482,78%,71%,28%,57%,44%
WAD1,WAD1-ALT1.MBCEst_SpeedSidetoSide,ALT1,MBCEst_SpeedSidetoSide,49,46.71428571,48,31,2.498979384,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_CuInletAirTemp,ALT1,AI_In_CuInletAirTemp,49,46.71428571,48,32,2.415933504,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_PitchAxis3ExpectedPos,ALT1,AI_In_PitchAxis3ExpectedPos,33,34.51515152,48,9,12.34140902,67%,58%,36%,40%,27%
WAD1,WAD1-ALT1.DynCtl_TorqueSetpt_PI,ALT1,DynCtl_TorqueSetpt_PI,36,46.47222222,48,28,3.320693628,73%,77%,7%,74%,54%
WAD1,WAD1-ALT1.AI_In_CuRtrJncTemp,ALT1,AI_In_CuRtrJncTemp,49,46.51020408,48,31,2.771004747,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_TbGenCoolingAirTemp,ALT1,AI_In_TbGenCoolingAirTemp,49,44.63265306,48,31,2.918581411,100%,74%,7%,71%,71%
WAD1,WAD1-ALT1.AI_In_GridMonReacPowerAct,ALT1,AI_In_GridMonReacPowerAct,49,46.71428571,48,31,2.498979384,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.DynCtl_MBCMode,ALT1,DynCtl_MBCMode,4,1.75,3,1,0.829156198,8%,3%,47%,-21%,-2%
WAD1,WAD1-ALT1.In_WindDir10sAvg,ALT1,In_WindDir10sAvg,49,36,47,20,5.872801369,100%,60%,16%,52%,52%
WAD1,WAD1-ALT1.AI_In_TowerAccelSideSideRaw,ALT1,AI_In_TowerAccelSideSideRaw,49,46.04081633,48,32,2.523030116,100%,77%,5%,74%,74%
WAD1,WAD1-ALT1.AI_In_DtaDownTowerCabinetTemp,ALT1,AI_In_DtaDownTowerCabinetTemp,36,7.194444444,14,1,3.446571924,73%,12%,48%,-12%,-9%
WAD1,WAD1-ALT1.DynCtlMBC_FinePitch,ALT1,DynCtlMBC_FinePitch,32,26.46875,46,1,11.35502195,65%,44%,43%,23%,15%
WAD1,WAD1-ALT1.AI_In_MotorTempA1,ALT1,AI_In_MotorTempA1,49,32.89795918,48,6,13.40917276,100%,55%,41%,34%,34%
WAD1,WAD1-ALT1.AI_In_MotorTempA2,ALT1,AI_In_MotorTempA2,49,33.26530612,48,9,12.21035945,100%,55%,37%,37%,37%
WAD1,WAD1-ALT1.AI_In_MotorTempA3,ALT1,AI_In_MotorTempA3,49,36.08163265,48,15,9.997625707,100%,60%,28%,46%,46%
WAD1,WAD1-ALT1.AI_In_GridMonCosPhiAct,ALT1,AI_In_GridMonCosPhiAct,49,46.73469388,48,33,2.397068875,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_TbGenBearingTempDs,ALT1,AI_In_TbGenBearingTempDs,49,45.34693878,48,31,2.638421145,100%,76%,6%,73%,73%
WAD1,WAD1-ALT1.AO_Cu_ReacPowerDem,ALT1,AO_Cu_ReacPowerDem,47,46.65957447,48,32,2.699697349,96%,78%,6%,75%,72%
WAD1,WAD1-ALT1.MBCEst_AeroThrust,ALT1,MBCEst_AeroThrust,49,46.7755102,48,32,2.443360901,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.DynCtl_RotorSpeedSetpoint,ALT1,DynCtl_RotorSpeedSetpoint,37,44.10810811,48,10,8.19618825,76%,74%,19%,64%,48%
WAD1,WAD1-ALT1.AI_In_CuPDCTemp,ALT1,AI_In_CuPDCTemp,49,46.69387755,48,32,2.3921989,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.WFMS_TurbMeasPhi,ALT1,WFMS_TurbMeasPhi,49,46.75510204,48,32,2.478730849,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.In_WindSpd,ALT1,In_WindSpd,49,45.18367347,48,29,2.804322243,100%,75%,6%,72%,72%
WAD1,WAD1-ALT1.AI_In_GridMonAppPowerAct,ALT1,AI_In_GridMonAppPowerAct,49,46.75510204,48,32,2.478730849,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_CuCFCTemp,ALT1,AI_In_CuCFCTemp,49,46.7755102,48,32,2.443360901,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.Curt_WFMSActPwrDemFreq,ALT1,Curt_WFMSActPwrDemFreq,4,15,36,1,14.8492424,8%,25%,99%,-24%,-2%
WAD1,WAD1-ALT1.DO_Pitch_Axis2GoToPos,ALT1,DO_Pitch_Axis2GoToPos,7,2.428571429,5,1,1.678191446,14%,4%,69%,-31%,-4%
WAD1,WAD1-ALT1.DO_Gen_TbGenCoolingFan,ALT1,DO_Gen_TbGenCoolingFan,2,1,1,1,0,4%,2%,0%,2%,0%
WAD1,WAD1-ALT1.DO_Gbx_TbLubOilCoolFanLow,ALT1,DO_Gbx_TbLubOilCoolFanLow,2,1,1,1,0,4%,2%,0%,2%,0%
WAD1,WAD1-ALT1.B_Curt_ExternalPowerLimited,ALT1,B_Curt_ExternalPowerLimited,1,1,1,1,0,2%,2%,0%,2%,0%
WAD1,WAD1-ALT1.Yaw_PositionToUntwist,ALT1,Yaw_PositionToUntwist,2,6.5,11,2,4.5,4%,11%,69%,-24%,-1%
WAD1,WAD1-ALT1.AO_Cu_TorqueDem,ALT1,AO_Cu_TorqueDem,49,46.71428571,48,32,2.474358297,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_GridMonCurrentL3Act,ALT1,AI_In_GridMonCurrentL3Act,49,46.63265306,48,31,2.700671704,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_MotorVoltageA1,ALT1,AI_In_MotorVoltageA1,33,34.21212121,48,1,12.80330823,67%,57%,37%,38%,26%
WAD1,WAD1-ALT1.AI_In_MotorVoltageA2,ALT1,AI_In_MotorVoltageA2,32,35.4375,48,1,11.55134597,65%,59%,33%,43%,28%
WAD1,WAD1-ALT1.AI_In_MotorVoltageA3,ALT1,AI_In_MotorVoltageA3,32,35.3125,48,1,11.65235357,65%,59%,33%,42%,28%
WAD1,WAD1-ALT1.Pitch_PitchBatt3Temp,ALT1,Pitch_PitchBatt3Temp,35,37.4,48,1,14.80964936,71%,62%,40%,43%,30%
WAD1,WAD1-ALT1.In_TipSpeedRatio,ALT1,In_TipSpeedRatio,49,46.7755102,48,32,2.443360901,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.Yaw_RevolutionsToUntwist,ALT1,Yaw_RevolutionsToUntwist,8,9.375,18,1,6.040229714,16%,16%,64%,-17%,-3%
WAD1,WAD1-ALT1.MBCEst_PitchAvg,ALT1,MBCEst_PitchAvg,33,33.39393939,48,2,12.47042415,67%,56%,37%,37%,25%
WAD1,WAD1-ALT1.In_AnemometerWindSpd,ALT1,In_AnemometerWindSpd,49,45.12244898,48,30,2.745182445,100%,75%,6%,72%,72%
WAD1,WAD1-ALT1.ControllerStateHeartbeat_R,ALT1,ControllerStateHeartbeat_R,49,46.65306122,48,32,2.527812803,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.DI_In_TbYawPosCounterCcw1st,ALT1,DI_In_TbYawPosCounterCcw1st,6,6.666666667,13,1,4.784233365,12%,11%,72%,-25%,-3%
WAD1,WAD1-ALT1.OpCtl_PowerSetpt,ALT1,OpCtl_PowerSetpt,13,44,48,1,12.44062823,27%,73%,28%,59%,16%
WAD1,WAD1-ALT1.Out_CalcTurbineConditionSCADA,ALT1,Out_CalcTurbineConditionSCADA,1,1,1,1,0,2%,2%,0%,2%,0%
WAD1,WAD1-ALT1.AI_GenSpdProximitySensor,ALT1,AI_GenSpdProximitySensor,49,40.59183673,48,2,12.43418324,100%,68%,31%,52%,52%
WAD1,WAD1-ALT1.AI_In_TbGenWinding1Temp,ALT1,AI_In_TbGenWinding1Temp,49,45.48979592,48,29,2.970071455,100%,76%,7%,73%,73%
WAD1,WAD1-ALT1.Out_CurtSTopTime,ALT1,Out_CurtSTopTime,11,47.36363636,48,47,0.481045693,22%,79%,1%,78%,18%
WAD1,WAD1-ALT1.DI_In_TbDiscBrakeHydrPNotLow,ALT1,DI_In_TbDiscBrakeHydrPNotLow,9,1.555555556,3,1,0.684934889,18%,3%,44%,-19%,-4%
WAD1,WAD1-ALT1.AI_In_TbRotorSpeed1,ALT1,AI_In_TbRotorSpeed1,47,39.29787234,48,1,14.98071795,96%,65%,38%,46%,45%
WAD1,WAD1-ALT1.DI_In_TbYawPosCounterCcw2nd,ALT1,DI_In_TbYawPosCounterCcw2nd,4,10.25,18,1,7.822243924,8%,17%,76%,-21%,-2%
WAD1,WAD1-ALT1.Pitch_PitchAxis3Temp,ALT1,Pitch_PitchAxis3Temp,10,26.4,46,1,16.96584805,20%,44%,64%,12%,2%
WAD1,WAD1-ALT1.AI_In_DCLinkVoltageIA1,ALT1,AI_In_DCLinkVoltageIA1,49,46.55102041,48,32,2.695886697,100%,78%,6%,75%,75%
